Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,scene,data_factor,variant,clustering,distance,weights,max_iter,tol,n_iters,converged,final_error,kmeans_seed,sort_seed,size_bytes,zip_bytes,png_bytes,shN_bytes,meta_bytes,kmeans_time_s,encode_time_s,compress_time_s,decompress_time_s,eval_time_s,source,ckpt_sha1,gsplat_commit,timestamp
lloyd_wopa,32.010887145996094,0.9332002401351928,0.1766143441200256,15704181.0,1000000,room,2,candidate,lloyd,euclidean,opacity,100.0,0.0001,41.0,True,9.495480480836704e-05,0.0,0.0,15700831.0,15704181.0,12434186.0,3265579.0,1066.0,234.01108914399992,2.428913220999675,236.4400023649996,1.0078358899991144,25.03920899399964,run4,843339232b480503676f8cd4e7dd1cea9ad78749,f7ce526204b2,2026-09-17T18:03:18
lloyd_wopa_area,32.06923294067383,0.9336980581283568,0.1765708923339843,15697613.0,1000000,room,2,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,46.0,True,5.00500891575939e-06,0.0,0.0,15694196.0,15697613.0,12434186.0,3258944.0,1066.0,262.5573229959992,2.142839152000306,264.70016214799944,0.803052610001032,24.608752853000624,run4,843339232b480503676f8cd4e7dd1cea9ad78749,f7ce526204b2,2026-09-17T18:08:08
uncompressed,23.33470344543457,0.6643633246421814,0.3198634386062622,,1000000,treehill,4,uncompressed,,,,,,,,,0.0,0.0,236000000.0,,,,,,,,,8.038953290999416,run4,66fcadcf3298034c06227e69e6381e5a539f6980,f7ce526204b2,2026-09-17T18:06:21
baseline,23.23360252380371,0.6557396650314331,0.3322463035583496,15875616.0,1000000,treehill,4,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0.0,0.0,15873857.0,15875616.0,12439164.0,3433631.0,1062.0,436.5499004760004,3.868313038999986,440.4182135150004,1.6710431070005145,8.114497350999955,run4,66fcadcf3298034c06227e69e6381e5a539f6980,f7ce526204b2,2026-09-17T18:13:53
lloyd_wopa,23.22373390197754,0.6560341119766235,0.3319829404354095,15861687.0,1000000,treehill,4,candidate,lloyd,euclidean,opacity,100.0,0.0001,48.0,True,7.930977153591812e-05,0.0,0.0,15859915.0,15861687.0,12439164.0,3419688.0,1063.0,326.35615016500014,2.581539228998736,328.9376893939989,0.8852450279991899,8.027890883999135,run4,66fcadcf3298034c06227e69e6381e5a539f6980,f7ce526204b2,2026-09-17T18:19:31
lloyd_wopa_area,23.238508224487305,0.656144380569458,0.3312221765518188,15852475.0,1000000,treehill,4,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,87.0,True,8.306508243549615e-05,0.0,0.0,15850599.0,15852475.0,12439164.0,3410372.0,1063.0,593.8464713569992,2.6565687660004187,596.5030401229997,0.9107523719994788,7.987523356998281,run4,66fcadcf3298034c06227e69e6381e5a539f6980,f7ce526204b2,2026-09-17T18:29:37
uncompressed,22.01067924499512,0.6268258094787598,0.332193523645401,,1000000,flowers,4,uncompressed,,,,,,,,,0.0,0.0,236000000.0,,,,,,,,,8.879365987999336,run4,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,f7ce526204b2,2026-09-17T18:44:26
baseline,21.79166030883789,0.6135787963867188,0.344018816947937,16404698.0,1000000,flowers,4,baseline,torchpq,manhattan,none,100.0,0.0001,,,,0.0,0.0,16400657.0,16404698.0,12796494.0,3603099.0,1064.0,408.6462105610008,1.8948466799993184,410.5410572410001,0.7693699019982887,8.538721384000382,run4,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,f7ce526204b2,2026-09-17T18:51:27
lloyd_wopa,21.81789207458496,0.6146348118782043,0.3434109687805176,16397737.0,1000000,flowers,4,candidate,lloyd,euclidean,opacity,100.0,0.0001,63.0,True,7.84564804234833e-07,0.0,0.0,16393615.0,16397737.0,12796494.0,3596057.0,1064.0,354.8578852520004,1.858583653000096,356.7164689050005,0.6744571070012171,8.540627342001244,run4,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,f7ce526204b2,2026-09-17T18:57:33
lloyd_wopa_area,21.835824966430664,0.6144742965698242,0.3425472974777221,16448533.0,1000000,flowers,4,candidate,lloyd,euclidean,opacity_area,100.0,0.0001,100.0,False,0.001580391312018,0.0,0.0,16444351.0,16448533.0,12796494.0,3646793.0,1064.0,566.5149518870003,1.8529191049965448,568.3678709919968,0.5817662609988474,8.578989126999659,run4,d0ea4a76881fb22b0c2848903cb0cce0001b06d5,f7ce526204b2,2026-09-17T19:07:11
