scene,metric,bin_lo,bin_hi,count,count_fraction,trace_fraction
garden,top3_fraction,0.36,0.38,0,0.0,0.0
garden,top3_fraction,0.38,0.4,0,0.0,0.0
garden,top3_fraction,0.4,0.42,0,0.0,0.0
garden,top3_fraction,0.42,0.44,0,0.0,0.0
garden,top3_fraction,0.44,0.46,1,1.0013989543392118e-06,7.199238736193395e-07
garden,top3_fraction,0.46,0.48,14,1.4019585360748967e-05,9.799378058301817e-05
garden,top3_fraction,0.48,0.5,25,2.5034973858480295e-05,2.3762753181198525e-05
garden,top3_fraction,0.5,0.52,42,4.20587560822469e-05,0.00014150268454800829
garden,top3_fraction,0.52,0.54,141,0.00014119725256182887,0.00032150835137064045
garden,top3_fraction,0.54,0.56,595,0.0005958323778318311,0.0009859790762426354
garden,top3_fraction,0.56,0.58,1716,0.0017184006056460877,0.0027954701355933204
garden,top3_fraction,0.58,0.6,3373,0.0033777186729861616,0.007233165892909
garden,top3_fraction,0.6,0.62,4546,0.004552359646426057,0.008881567134880853
garden,top3_fraction,0.62,0.64,5333,0.005340460623491017,0.01127055019596524
garden,top3_fraction,0.64,0.66,5155,0.005162211609618638,0.010547181156964094
garden,top3_fraction,0.66,0.68,5287,0.005294396271591413,0.01106947890044719
garden,top3_fraction,0.68,0.7000000000000001,5665,0.005672925076331635,0.012191316160816952
garden,top3_fraction,0.7000000000000001,0.72,6204,0.006212679112720471,0.011732523373004013
garden,top3_fraction,0.72,0.74,7799,0.007809910444891513,0.015455865638606478
garden,top3_fraction,0.74,0.76,10371,0.010385508555451966,0.014132520080304203
garden,top3_fraction,0.76,0.78,14285,0.014304984062735641,0.015923572172057646
garden,top3_fraction,0.78,0.8,18206,0.01823146936269969,0.020934544787085993
garden,top3_fraction,0.8,0.8200000000000001,22163,0.022194005025019954,0.025843122182740267
garden,top3_fraction,0.8200000000000001,0.84,26032,0.026068417579358363,0.034122378637386055
garden,top3_fraction,0.84,0.86,31269,0.03131274390323282,0.038084468947084095
garden,top3_fraction,0.86,0.88,40947,0.04100428298332771,0.03942791198214748
garden,top3_fraction,0.88,0.9,57038,0.057117793557599966,0.0520722220053754
garden,top3_fraction,0.9,0.92,69544,0.06964128888056616,0.056022167455339535
garden,top3_fraction,0.92,0.9400000000000001,64647,0.06473743820116704,0.05055474082780846
garden,top3_fraction,0.9400000000000001,0.96,55655,0.055732858803748835,0.03546715000589181
garden,top3_fraction,0.96,0.98,76388,0.07649486332406372,0.060444668757548954
garden,top3_fraction,0.98,1.0,466162,0.4668141393526757,0.46422194700024494
